S0,K,r,sigma,T,n,option_type,mc_price,mc_se,mc_time,cv_price,cv_se,cv_beta,cv_plain_mc_price,cv_plain_mc_std,geo_analytical,variance_reduction,cv_time,mc_cv_plain_diff,mc_cv_std_diff,tw_price,tw_time,levy_price,levy_time,cv_error_vs_mc,tw_error_vs_mc,levy_error_vs_mc,cv_abs_error_vs_mc,tw_abs_error_vs_mc,levy_abs_error_vs_mc,mc_error_vs_cv,tw_error_vs_cv,levy_error_vs_cv,mc_abs_error_vs_cv,tw_abs_error_vs_cv,levy_abs_error_vs_cv
100,70,0.05,0.3,1.0,78,call,31.0784847162416,0.05450388715683249,0.05987600004300475,31.042345533085495,0.002110893136164582,1.0201637895348654,31.0784847162416,0.05450388715683249,30.32800381482133,666.6877236103755,0.05123783403541893,0.0,0.0,31.063185336448804,5.454104393720627e-05,31.027311306120517,3.7499703466892242e-06,-0.03613918315610576,-0.015299379792796941,-0.05117341012108412,0.03613918315610576,0.015299379792796941,0.05117341012108412,0.03613918315610576,0.020839803363308818,-0.015034226964978359,0.03613918315610576,0.020839803363308818,0.015034226964978359
100,70,0.05,0.3,1.0,126,call,31.055333995971683,0.05435140306068747,0.09828141704201698,31.027010376377778,0.0020689090567040406,1.019714380671708,31.05533399597168,0.05435140306068747,30.31423315304944,690.1424129186738,0.08482808305416256,3.552713678800501e-15,0.0,31.049497225075783,0.00017333298455923796,31.027311306120517,4.667090252041817e-06,-0.02832361959390539,-0.0058367708959004005,-0.028022689851166405,0.02832361959390539,0.0058367708959004005,0.028022689851166405,0.02832361959390539,0.02248684869800499,0.00030092974273898676,0.02832361959390539,0.02248684869800499,0.00030092974273898676
100,70,0.05,0.3,1.0,180,call,31.036191572976374,0.05435799930910943,0.17149799992330372,31.02292847581702,0.002110423806986089,1.020303317591235,31.036191572976374,0.05435799930910943,30.307542807180248,663.4184920954638,0.13698629208374768,0.0,0.0,31.042834018714306,0.00021674996241927147,31.027311306120517,4.625064320862293e-06,-0.01326309715935281,0.0066424457379312685,-0.008880266855857855,0.01326309715935281,0.0066424457379312685,0.008880266855857855,0.01326309715935281,0.01990554289728408,0.004382830303494956,0.01326309715935281,0.01990554289728408,0.004382830303494956
100,70,0.05,0.3,1.0,252,call,31.028561132720522,0.05438747163750575,0.2107812080066651,31.0211552254282,0.0021470399533631427,1.0207803045358321,31.028561132720522,0.054387471637505735,30.303090891001855,641.6784989570475,0.1959391669370234,0.0,1.3877787807814457e-17,31.03839542308109,0.00035454099997878075,31.027311306120517,4.249974153935909e-06,-0.007405907292323377,0.009834290360569042,-0.0012498266000058322,0.007405907292323377,0.009834290360569042,0.0012498266000058322,0.007405907292323377,0.01724019765289242,0.006156080692317545,0.007405907292323377,0.01724019765289242,0.006156080692317545
100,70,0.05,0.4,1.0,4,call,32.38635783948741,0.08490542395869712,0.003566291998140514,32.30034925050153,0.0041373779143471096,1.0291960026807616,32.38635783948741,0.08490542395869712,31.191534772125003,421.1341753113647,0.004500041948631406,0.0,0.0,32.371488372098185,1.662492286413908e-05,31.35921445594693,3.1669624149799347e-06,-0.0860085889858766,-0.014869467389225122,-1.02714338354048,0.0860085889858766,0.014869467389225122,1.02714338354048,0.0860085889858766,0.07113912159665148,-0.9411347945546034,0.0860085889858766,0.07113912159665148,0.9411347945546034
100,70,0.05,0.4,1.0,6,call,31.874305774438138,0.08022238311992004,0.004497374990023673,31.943627422346253,0.003929851230830849,1.03148098075112,31.87430577443813,0.08022238311992003,30.79150506828559,416.7147744238546,0.0054239589953795075,7.105427357601002e-15,1.3877787807814457e-17,32.01983638447512,1.6249949112534523e-05,31.35921445594693,3.208988346159458e-06,0.06932164790811512,0.14553061003698176,-0.5150913184912085,0.06932164790811512,0.14553061003698176,0.5150913184912085,-0.06932164790811512,0.07620896212886663,-0.5844129663993236,0.06932164790811512,0.07620896212886663,0.5844129663993236
100,70,0.05,0.4,1.0,8,call,31.738100254836528,0.07798207747133816,0.005769625073298812,31.771665629592178,0.003861185707620684,1.0322691956816092,31.738100254836528,0.07798207747133816,30.603045649720993,407.8948496175196,0.006744583020918071,0.0,0.0,31.84917263100657,1.54589070007205e-05,31.35921445594693,2.5420449674129486e-06,0.03356537475564991,0.11107237617004273,-0.3788857988895984,0.03356537475564991,0.11107237617004273,0.3788857988895984,-0.03356537475564991,0.07750700141439282,-0.4124511736452483,0.03356537475564991,0.07750700141439282,0.4124511736452483
100,70,0.05,0.4,1.0,12,call,31.628026777787902,0.07584360427132807,0.00893016706686467,31.6020207444327,0.0037528410984332015,1.0332894999545326,31.6280267777879,0.07584360427132807,30.42250371234135,408.4299441441191,0.00840858300216496,3.552713678800501e-15,0.0,31.682106286370466,1.795799471437931e-05,31.35921445594693,2.624932676553726e-06,-0.026006033355201907,0.05407950858256427,-0.26881232184097215,0.026006033355201907,0.05407950858256427,0.26881232184097215,0.026006033355201907,0.08008554193776618,-0.24280628848577024,0.026006033355201907,0.08008554193776618,0.24280628848577024
100,70,0.05,0.4,1.0,18,call,31.4898618058506,0.07419812802529689,0.013733125058934093,31.484346713038022,0.003685665926426536,1.0340537039542705,31.4898618058506,0.07419812802529689,30.306621147664675,405.2788700076796,0.012147416011430323,0.0,0.0,31.572783454432415,2.0458013750612736e-05,31.35921445594693,2.9159709811210632e-06,-0.0055150928125797805,0.08292164858181295,-0.130647349903672,0.0055150928125797805,0.08292164858181295,0.130647349903672,0.0055150928125797805,0.08843674139439273,-0.1251322570910922,0.0055150928125797805,0.08843674139439273,0.1251322570910922
100,70,0.05,0.4,1.0,26,call,31.476505170814985,0.07351105677926566,0.020541582955047488,31.416261594668853,0.0036515255322990643,1.0341578470273904,31.476505170814992,0.07351105677926567,30.237114442697983,405.2813778074554,0.017672667047008872,-7.105427357601002e-15,-1.3877787807814457e-17,31.506341773759722,2.2292020730674267e-05,31.35921445594693,2.6659108698368073e-06,-0.06024357614613152,0.029836602944737223,-0.11729071486805509,0.06024357614613152,0.029836602944737223,0.11729071486805509,0.06024357614613152,0.09008017909086874,-0.057047138721923574,0.06024357614613152,0.09008017909086874,0.057047138721923574
