S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual
80,80.0,1.0,0.0,0.05,0.25,0.4,0.16000000000000003,12,0.08333333333333333,0.2886751345948129,call,4.153758464082562,0.0003830333839962813,4.162493470948545,0.008735006865982164,0.008735006865982164,0.0021029164169061665,0.00010918758582477706,0.00010918758582477706
80,80.0,1.0,0.0,0.05,0.25,0.4,0.16000000000000003,26,0.038461538461538464,0.19611613513818404,call,4.018732435442609,0.0003611952401749946,4.028821007410582,0.010088571967973081,0.010088571967973081,0.002510386578364469,0.00012610714959966353,0.00012610714959966353
80,80.0,1.0,0.0,0.05,0.25,0.4,0.16000000000000003,52,0.019230769230769232,0.1386750490563073,call,3.9618169418080824,0.0003587164039401422,3.9714115775429937,0.009594635734911261,0.009594635734911261,0.0024217766433530592,0.00011993294668639077,0.00011993294668639077
80,80.0,1.0,0.0,0.05,0.25,0.4,0.16000000000000003,126,0.007936507936507936,0.0890870806374748,call,3.9274182970808282,0.00035361329258422835,3.937659062955098,0.010240765874269808,0.010240765874269808,0.0026075057708728317,0.0001280095734283726,0.0001280095734283726
80,80.0,1.0,0.0,0.05,0.25,0.5,0.25,12,0.08333333333333333,0.2886751345948129,call,5.119623969435438,0.0006127980722373945,5.135594698756977,0.015970729321538535,0.015970729321538535,0.003119512178410965,0.00019963411651923167,0.00019963411651923167
80,80.0,1.0,0.0,0.05,0.25,0.5,0.25,26,0.038461538461538464,0.19611613513818404,call,4.9551956402484665,0.0005851505673837786,4.9717262888006974,0.016530648552230964,0.016530648552230964,0.0033360233888569684,0.00020663310690288705,0.00020663310690288705
80,80.0,1.0,0.0,0.05,0.25,0.5,0.25,52,0.019230769230769232,0.1386750490563073,call,4.88451696904819,0.0005759340520297855,4.901342597438277,0.016825628390087388,0.016825628390087388,0.0034446862395415274,0.00021032035487609236,0.00021032035487609236
80,80.0,1.0,0.0,0.05,0.25,0.5,0.25,126,0.007936507936507936,0.0890870806374748,call,4.842140600845925,0.0005669661589857961,4.859960549893369,0.01781994904744444,0.01781994904744444,0.0036801800105373404,0.0002227493630930555,0.0002227493630930555
80,80.0,1.0,0.0,0.05,0.25,0.6,0.36,12,0.08333333333333333,0.2886751345948129,call,6.084222559543125,0.0008960801500133705,6.110615962778517,0.02639340323539141,0.02639340323539141,0.004338007523080046,0.00032991754044239265,0.00032991754044239265
80,80.0,1.0,0.0,0.05,0.25,0.6,0.36,26,0.038461538461538464,0.19611613513818404,call,5.88805585490026,0.0008569648662674325,5.916729690128486,0.02867383522822564,0.02867383522822564,0.004869830710651666,0.0003584229403528205,0.0003584229403528205
80,80.0,1.0,0.0,0.05,0.25,0.6,0.36,52,0.019230769230769232,0.1386750490563073,call,5.804379499054008,0.000837946635860279,5.833446559269261,0.029067060215252738,0.029067060215252738,0.005007780800685079,0.00036333825269065925,0.00036333825269065925
80,80.0,1.0,0.0,0.05,0.25,0.6,0.36,126,0.007936507936507936,0.0890870806374748,call,5.757889079297015,0.0008459962648022541,5.784478525930807,0.02658944663379259,0.02658944663379259,0.004617915744399668,0.00033236808292240737,0.00033236808292240737
80,88.0,1.1,0.09531017980432493,0.05,0.25,0.1,0.010000000000000002,12,0.08333333333333333,0.2886751345948129,call,0.0015669097149911288,5.933131538627713e-06,0.0014672486822780732,-9.966103271305559e-05,9.966103271305559e-05,-0.06360355785631198,-1.2457629089131948e-06,1.2457629089131948e-06
80,88.0,1.1,0.09531017980432493,0.05,0.25,0.1,0.010000000000000002,26,0.038461538461538464,0.19611613513818404,call,0.001087258075598592,5.799888690490963e-06,0.000993568358325338,-9.368971727325413e-05,9.368971727325413e-05,-0.0861706336112271,-1.1711214659156766e-06,1.1711214659156766e-06
