S0,K,moneyness,log_moneyness,r,T,sigma,sigma2,n,inv_n,inv_sqrt_n,option_type,cv_mc_price,cv_mc_se,tw_price,tw_residual,tw_abs_residual,tw_rel_residual,scaled_tw_residual,scaled_tw_abs_residual,cubic_predicted_scaled_tw_bias,cubic_predicted_tw_bias,tw_cubic_corrected_price,tw_cubic_corrected_error,tw_cubic_corrected_abs_error
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.6,0.36,12,0.0833333333333333,0.2886751345948129,call,24.330588473792087,0.0011856885212721,24.352703450332697,0.022114976540610343,0.022114976540610343,0.0009089371826919,0.0002764372067575,0.0002764372067575,0.0002788861599747068,0.022310892797976545,24.330392557534722,-0.00019591625736481433,0.00019591625736481433
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.6,0.36,26,0.0384615384615384,0.196116135138184,call,24.288287656563135,0.0011724720882601,24.31008842922248,0.021800772659343437,0.021800772659343437,0.000897583764142,0.0002725096582417,0.0002725096582417,0.0002753287076299808,0.02202629661039846,24.28806213261208,-0.00022552395105535084,0.00022552395105535084
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.6,0.36,52,0.0192307692307692,0.1386750490563073,call,24.269362501452765,0.0011640985239687,24.292562879143095,0.023200377690329788,0.023200377690329788,0.0009559533213509,0.0002900047211291,0.0002900047211291,0.00025938524394713305,0.020750819515770645,24.271812059627322,0.002449558174557609,0.002449558174557609
80,56.0,0.7,-0.3566749439387324,0.05,0.25,0.6,0.36,126,0.0079365079365079,0.0890870806374748,call,24.26211809569589,0.0011701033956299,24.282473577704867,0.020355482008977077,0.020355482008977077,0.0008389820677935,0.0002544435251122,0.0002544435251122,0.0002565903488084696,0.020527227904677568,24.26194634980019,-0.00017174589569890486,0.00017174589569890486
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.01,12,0.0833333333333333,0.2886751345948129,call,16.33852859774646,3.442111845531083e-05,16.33851212801026,-1.6469736198843066e-05,1.6469736198843066e-05,-1.008030564093434e-06,-2.0587170248553833e-07,2.0587170248553833e-07,-5.399201337718694e-08,-4.319361070174955e-06,16.338516447371333,-1.2150375127362167e-05,1.2150375127362167e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.01,26,0.0384615384615384,0.196116135138184,call,16.316208052944347,3.406738602598077e-05,16.316210215049928,2.1621055807941048e-06,2.1621055807941048e-06,1.325127489045435e-07,2.7026319759926308e-08,2.7026319759926308e-08,-2.502346291042498e-07,-2.0018770328339983e-05,16.316230233820257,2.2180875909327824e-05,2.2180875909327824e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.01,52,0.0192307692307692,0.1386750490563073,call,16.306665133321903,3.393667328882041e-05,16.30665352846614,-1.1604855764346667e-05,1.1604855764346667e-05,-7.116633394667982e-07,-1.4506069705433334e-07,1.4506069705433334e-07,-8.381886900183685e-08,-6.705509520146948e-06,16.30666023397566,-4.89934624425814e-06,4.89934624425814e-06
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.1,0.01,126,0.0079365079365079,0.0890870806374748,call,16.301013933245294,3.385324173532233e-05,16.301041228153505,2.729490821096192e-05,2.729490821096192e-05,1.6744300889955683e-06,3.41186352637024e-07,3.41186352637024e-07,-2.356297180565602e-07,-1.8850377444524817e-05,16.30106007853095,4.614528565483056e-05,4.614528565483056e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04,12,0.0833333333333333,0.2886751345948129,call,16.338779367160704,0.0001361482252313,16.338606722416348,-0.00017264474435663146,0.00017264474435663146,-1.0566563173233734e-05,-2.158059304457893e-06,2.158059304457893e-06,7.15066893079815e-08,5.72053514463852e-06,16.3386010018812,-0.0001783652795026569,0.0001783652795026569
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04,26,0.0384615384615384,0.196116135138184,call,16.31631427530755,0.0001350759406458,16.31626601637857,-4.825892898097095e-05,4.825892898097095e-05,-2.9577101891205943e-06,-6.032366122621368e-07,6.032366122621368e-07,-5.548014063530888e-07,-4.4384112508247104e-05,16.31631040049108,-3.874816471238773e-06,3.874816471238773e-06
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04,52,0.0192307692307692,0.1386750490563073,call,16.30659424545713,0.0001343210527079,16.306697372389575,0.00010312693244429738,0.00010312693244429738,6.324247166021661e-06,1.2890866555537171e-06,1.2890866555537171e-06,8.125324248659546e-07,6.500259398927637e-05,16.306632369795587,3.8124338455958195e-05,3.8124338455958195e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.2,0.04,126,0.0079365079365079,0.0890870806374748,call,16.30100694525437,0.0001344776502718,16.30107911081077,7.216555639999456e-05,7.216555639999456e-05,4.427061263292311e-06,9.02069454999932e-07,9.02069454999932e-07,-4.976824351536316e-07,-3.981459481229053e-05,16.301118925405586,0.00011198015121394178,0.00011198015121394178
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,12,0.0833333333333333,0.2886751345948129,call,16.350238350222288,0.0003001714549863,16.351859969551665,0.0016216193293772108,0.0016216193293772108,9.91801645114956e-05,2.0270241617215135e-05,2.0270241617215135e-05,2.7717429322488387e-05,0.002217394345799071,16.349642575205866,-0.0005957750164213849,0.0005957750164213849
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,26,0.0384615384615384,0.196116135138184,call,16.323933769129777,0.0002948052278348,16.326351739636696,0.0024179705069187207,0.0024179705069187207,0.0001481242536949,3.0224631336484008e-05,3.0224631336484008e-05,2.5673185442571224e-05,0.002053854835405698,16.32429788480129,0.0003641156715126215,0.0003641156715126215
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,52,0.0192307692307692,0.1386750490563073,call,16.313387248196968,0.0002958867612823,16.315603933730255,0.002216685533287688,0.002216685533287688,0.0001358813776417,2.7708569166096096e-05,2.7708569166096096e-05,2.43970996719237e-05,0.001951767973753896,16.3136521657565,0.0002649175595337283,0.0002649175595337283
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.3,0.09,126,0.0079365079365079,0.0890870806374748,call,16.308179027086172,0.0002964036287482,16.309340401970562,0.001161374884389943,0.001161374884389943,7.121425895932473e-05,1.4517186054874286e-05,1.4517186054874286e-05,1.8328209734632725e-05,0.001466256778770618,16.307874145191793,-0.000304881894379605,0.000304881894379605
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16,12,0.0833333333333333,0.2886751345948129,call,16.43157986679036,0.0005133099689314,16.442802823057736,0.011222956267374684,0.011222956267374684,0.0006830113938135,0.0001402869533421,0.0001402869533421,0.00014661235531483798,0.011728988425187038,16.43107383463255,-0.0005060321578120863,0.0005060321578120863
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16,26,0.0384615384615384,0.196116135138184,call,16.391987673383746,0.000507159358284,16.40307982845115,0.011092155067405685,0.011092155067405685,0.0006766815158979,0.0001386519383425,0.0001386519383425,0.00013805035967863174,0.011044028774290539,16.39203579967686,4.812629311601313e-05,4.812629311601313e-05
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16,52,0.0192307692307692,0.1386750490563073,call,16.375057970755673,0.0005011195196999,16.386621222359768,0.01156325160409466,0.01156325160409466,0.0007061502698033,0.0001445406450511,0.0001445406450511,0.0001391362872193377,0.011130902977547015,16.37549031938222,0.00043234862654628614,0.00043234862654628614
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.4,0.16,126,0.0079365079365079,0.0890870806374748,call,16.366560994633204,0.0005016924391179,16.37711220886951,0.010551214236304673,0.010551214236304673,0.0006446812033245,0.0001318901779538,0.0001318901779538,0.00013939674346783733,0.011151739477426988,16.365960469392082,-0.0006005252411220852,0.0006005252411220852
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,12,0.0833333333333333,0.2886751345948129,call,16.63314508639686,0.0007703176125086,16.66199286749378,0.02884778109692121,0.02884778109692121,0.0017343551653688,0.0003605972637115,0.0003605972637115,0.0003590087616295107,0.02872070093036086,16.63327216656342,0.00012708016656048926,0.00012708016656048926
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,26,0.0384615384615384,0.196116135138184,call,16.568526733083726,0.0007606082870009,16.59796010427683,0.029433371193103852,0.029433371193103852,0.0017764627879877,0.0003679171399137,0.0003679171399137,0.0003732881414025911,0.029863051312207286,16.56809705296462,-0.0004296801191046029,0.0004296801191046029
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,52,0.0192307692307692,0.1386750490563073,call,16.542682031528205,0.0007612100846824,16.57137369460871,0.028691663080504526,0.028691663080504526,0.0017344021378046,0.0003586457885063,0.0003586457885063,0.000370486140478964,0.029638891238317124,16.541734803370392,-0.000947228157812674,0.000947228157812674
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.5,0.25,126,0.0079365079365079,0.0890870806374748,call,16.525255576094473,0.0007515508439476,16.55600305012383,0.030747474029357846,0.030747474029357846,0.0018606353098609,0.0003843434253669,0.0003843434253669,0.0003756248350974613,0.030049986807796907,16.525953063316035,0.000697487221561488,0.000697487221561488
80,64.0,0.8,-0.2231435513142097,0.05,0.25,0.6,0.36,12,0.0833333333333333,0.2886751345948129,call,16.95606879447235,0.0010935934295776,17.00831478312723,0.05224598865487806,0.05224598865487806,0.0030812559967856,0.0006530748581859,0.0006530748581859,0.0006527838685916696,0.05222270948733357,16.956092073639894,2.327916754296666e-05,2.327916754296666e-05
