model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,v0,theta,kappa,xi,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,variance_mean,option_type,n_paths,seed
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.1,-0.4,0.17018700527612773,20.839689013374446,20.852421764012153,0.035682651324649775,-0.012732750637706403,-0.00012732750637706403,102.56403370957338,101.37492426957283,0.02056738015443337,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.1,0.0,0.17018700527612773,20.839689013374446,20.841361223499806,0.03573330363344163,-0.0016722101253598964,-1.6722101253598964e-05,102.55909243772743,101.36582469200023,0.02056738015443337,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.3,-0.8,0.17018700527612773,20.839689013374446,20.87109038615127,0.03467080881033855,-0.03140137277682342,-0.0003140137277682342,102.52494074318719,101.36937900898471,0.021116801866709646,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.3,-0.4,0.17018700527612773,20.839689013374446,20.852081823514883,0.035234976172546464,-0.012392810140436694,-0.00012392810140436693,102.53167908863124,101.36326082947824,0.021116801866709646,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.3,0.0,0.17018700527612773,20.839689013374446,20.836845770745754,0.03567739751789854,0.0028432426286926216,2.8432426286926214e-05,102.53715831201941,101.35821117670322,0.021116801866709646,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.6,-0.8,0.17018700527612773,20.839689013374446,20.908069517055182,0.033989442423667214,-0.06838050368073567,-0.0006838050368073568,102.49788042976854,101.35702390320878,0.026327736863243863,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.6,-0.4,0.17018700527612773,20.839689013374446,20.870519456335703,0.03520045887756061,-0.03083044296125692,-0.00030830442961256923,102.5103812338867,101.3525080878586,0.026327736863243863,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.01,2.0,0.6,0.0,0.17018700527612773,20.839689013374446,20.841218853727575,0.03625937382669776,-0.001529840353128975,-1.529840353128975e-05,102.52565026837863,101.35086117238417,0.026327736863243863,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.1,-0.8,0.2,20.846063221285092,20.876834610121755,0.03830529654688695,-0.030771388836662084,-0.0003077138883666208,102.57214123599138,101.38910981718708,0.04000157435788496,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.1,-0.4,0.2,20.846063221285092,20.863512747721703,0.038485101000342234,-0.017449526436610796,-0.00017449526436610796,102.57782064429412,101.38042163897708,0.04000157435788496,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.1,0.0,0.2,20.846063221285092,20.849283845362194,0.03856185509988761,-0.0032206240771017747,-3.2206240771017743e-05,102.57278287310578,101.37008047642793,0.04000157435788496,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.3,-0.8,0.2,20.846063221285092,20.890479133675846,0.037228441753487926,-0.04441591239075393,-0.0004441591239075393,102.52970238792494,101.37332726158651,0.040384788108210994,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.3,-0.4,0.2,20.846063221285092,20.86627438866978,0.03790595974506154,-0.0202111673846872,-0.000202111673846872,102.53826697815204,101.36661902673852,0.040384788108210994,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.3,0.0,0.2,20.846063221285092,20.84467081702412,0.03847021775071374,0.001392404260972313,1.392404260972313e-05,102.54438625171397,101.36059660091081,0.040384788108210994,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.6,-0.8,0.2,20.846063221285092,20.939798988170068,0.036131086060940766,-0.09373576688497565,-0.0009373576688497565,102.49917298145425,101.35863610745497,0.046385523797828704,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.6,-0.4,0.2,20.846063221285092,20.893289411189112,0.037588980052041095,-0.04722618990401983,-0.0004722618990401983,102.51163336415742,101.35512280213777,0.046385523797828704,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,0.5,0.6,0.0,0.2,20.846063221285092,20.854997332924377,0.03888498366486354,-0.008934111639284481,-8.934111639284481e-05,102.52730895716965,101.35397319508381,0.046385523797828704,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,2.0,0.1,-0.8,0.2,20.846063221285092,20.876452734714768,0.038362493665981226,-0.03038951342967522,-0.0003038951342967522,102.57487499834171,101.38997143600692,0.040010644220312336,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,2.0,0.1,-0.4,0.2,20.846063221285092,20.863737197117423,0.03851736476677837,-0.01767397583233077,-0.0001767397583233077,102.58113033873536,101.38130328356783,0.040010644220312336,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,2.0,0.1,0.0,0.2,20.846063221285092,20.849848105674862,0.03856732214338938,-0.0037848843897698714,-3.784884389769871e-05,102.57566744176967,101.3707620314542,0.040010644220312336,call,50000,42
Heston,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.04,0.04,2.0,0.3,-0.8,0.2,20.846063221285092,20.88838152599795,0.037411259097550775,-0.04231830471285747,-0.0004231830471285747,102.53870295878157,101.37663183192264,0.04016891106093573,call,50000,42
