model,S0,K,moneyness,log_moneyness,r,T,n,inv_n,inv_sqrt_n,alpha0,beta,nu,rho,sigma_eff,tw_price,mc_price,mc_std_error,residual,scaled_residual,terminal_mean,average_mean,alpha_terminal_mean,option_type,n_paths,seed
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.3,-0.4,0.050237728630191596,20.838470011562116,20.678993661988553,0.009759729978483265,0.15947634957356271,0.0015947634957356272,102.23254852692101,101.2024848788657,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.3,0.0,0.050237728630191596,20.838470011562116,20.838662472886945,0.00972544776420883,-0.0001924613248291962,-1.924613248291962e-06,102.5403074045993,101.36619572495596,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.6,-0.8,0.050237728630191596,20.838470011562116,20.19822261488771,0.010369757542074256,0.640247396674404,0.00640247396674404,101.31291999658224,100.70954305476286,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.6,-0.4,0.050237728630191596,20.838470011562116,20.516386034682686,0.010022641935926044,0.3220839768794299,0.003220839768794299,101.92215589871535,101.03576081987639,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,0.7,0.6,0.0,0.050237728630191596,20.838470011562116,20.837237662240774,0.009915760552134468,0.0012323493213415304,1.2323493213415303e-05,102.5366471290851,101.36473484505657,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.1,-0.8,0.2,20.846063221285092,20.449977762982783,0.038386676618525746,0.39608545830230923,0.003960854583023092,101.76990950998511,100.95386654302493,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.1,-0.4,0.2,20.846063221285092,20.650744983308936,0.03853880478201874,0.19531823797615644,0.0019531823797615646,102.18096138696224,101.16375923107525,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.1,0.0,0.2,20.846063221285092,20.851334628161354,0.038608518312643815,-0.005271406876261153,-5.2714068762611535e-05,102.58188352839672,101.37258129815366,0.19999045043302238,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.3,-0.8,0.2,20.846063221285092,19.632812874336345,0.03792048354515961,1.2132503469487474,0.012132503469487474,100.16904963840267,100.0869417020825,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.3,-0.4,0.2,20.846063221285092,20.232403198633342,0.038305578357128105,0.6136600226517501,0.006136600226517502,101.35825513290756,100.72201580710173,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.3,0.0,0.2,20.846063221285092,20.848669983764818,0.03878066673106657,-0.0026067624797256883,-2.6067624797256883e-05,102.5687846113389,101.36779441680655,0.20000310455534015,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.6,-0.8,0.2,20.846063221285092,18.504837010593103,0.03774416719395178,2.341226210691989,0.02341226210691989,97.88329198448433,98.8309873600794,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.6,-0.4,0.2,20.846063221285092,19.638535615921224,0.03831311148484815,1.2075276053638682,0.012075276053638681,100.15656698976326,100.07150944522347,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.2,1.0,0.6,0.0,0.2,20.846063221285092,20.85102376563785,0.03944784950737577,-0.004960544352758944,-4.960544352758944e-05,102.55079574439533,101.36094511673734,0.20009954706894642,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.1,-0.8,0.03,20.838470011562116,20.77714563727054,0.005797581762646196,0.06132437429157633,0.0006132437429157634,102.41465884562231,101.30312158323164,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.1,-0.4,0.03,20.838470011562116,20.80821542468845,0.0057874796178364095,0.030254586873667222,0.0003025458687366722,102.47725113607073,101.33497790606272,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.1,0.0,0.03,20.838470011562116,20.839141580868493,0.005771680800773402,-0.0006715693063767958,-6.715693063767958e-06,102.53829911359328,101.36668696161382,0.2999856756495335,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.3,-0.8,0.03,20.838470011562116,20.648023115163376,0.005888122432248731,0.1904468963987398,0.001904468963987398,102.16850524184588,101.17073030891493,0.3000046568330102,call,50000,42
SABR,100,80.0,0.8,-0.2231435513142097,0.05,0.5,12,0.08333333333333333,0.2886751345948129,0.3,0.5,0.3,-0.4,0.03,20.838470011562116,20.743222686192695,0.005830078079909182,0.09524732536942082,0.0009524732536942082,102.35299955447702,101.26833986855873,0.3000046568330102,call,50000,42
